,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
196307,  -0.9960,  -0.5976,  -1.1202,  -0.0411,   0.5459,  -1.8554
196308,   4.5361,   4.4852,   5.7786,   5.3890,   4.6233,   7.7374
196309,  -3.0338,  -0.5782,  -1.9949,  -1.0644,  -1.7019,  -1.8500
196310,   1.2001,   1.5438,   2.7144,   3.8445,   1.2355,   2.1333
196311,  -2.9288,  -1.2360,  -0.3615,  -0.2458,  -1.4530,   0.6863
196312,   0.2600,   0.2266,   0.1898,   2.0405,   3.0376,   2.0776
196401,   0.8461,   2.8067,   3.9545,   2.6865,   2.7291,   2.5345
196402,   1.5955,   2.1794,   4.1435,   1.4253,   1.6582,   4.4977
196403,   0.5705,   3.8882,   5.1951,   0.9246,   3.0113,   3.1099
196404,  -1.7606,  -0.4077,  -1.4626,   0.4194,   1.2053,  -1.2104
196405,   0.9717,   1.1988,   2.0641,   1.5106,   1.1688,   4.1377
196406,   1.3983,   1.5625,   1.9892,   1.6666,   1.3153,   2.3232
196407,   1.5138,   3.0530,   2.6263,   1.9299,   2.2271,   2.3212
196408,  -1.4974,  -0.2513,  -1.2129,  -1.2341,  -0.8465,  -1.3608
196409,   3.3709,   2.9293,   3.5648,   2.3822,   3.5233,   5.5787
196410,   1.1000,   1.3816,   2.3410,   0.2758,   1.9054,   1.3829
196411,  -0.1715,  -0.1820,   0.0818,   0.4912,   0.8554,  -3.6810
196412,   0.3628,  -0.9113,  -1.5316,   1.1149,  -0.1853,  -1.9539
196501,   7.0003,   5.6999,   6.6399,   3.9591,   2.7263,   4.5649
196502,   3.7212,   3.4466,   4.3507,   0.6010,   0.0932,   0.1864
196503,   0.8913,   0.7816,   1.5186,  -1.1241,  -1.6570,   0.3140
196504,   3.1183,   4.1951,   5.2843,   3.8016,   2.5301,   2.9536
196505,  -0.1126,  -0.7143,  -1.3166,  -0.2667,   0.0656,  -2.2744
196506,  -9.9226,  -8.8312,  -8.5618,  -4.5515,  -5.0079,  -4.7270
196507,   2.5334,   3.1165,   4.1342,   1.3395,   1.6413,   4.1297
196508,   6.6726,   4.9682,   5.0715,   2.9019,   2.7940,   2.5040
196509,   3.8881,   3.7892,   3.8147,   3.7823,   2.2100,   3.5859
196510,   5.9453,   5.4445,   6.3906,   2.8072,   1.9219,   5.4895
196511,   4.0876,   4.8265,   4.6800,  -0.0039,  -0.1558,  -0.2972
196512,   3.8682,   3.4241,   4.7121,   0.8420,   0.9032,   4.0673
196601,   4.2813,   5.5743,   6.9633,  -0.1714,   1.1897,   4.2690
196602,   3.6803,   3.0931,   3.3582,  -1.6233,  -0.8088,  -0.6484
196603,  -0.4175,  -2.9079,  -1.9266,  -1.5547,  -2.6594,  -4.0093
196604,   5.6851,   4.7141,   5.6828,   2.4590,   1.7939,   1.5507
196605,  -9.9429,  -9.8608, -10.3674,  -4.2114,  -5.0991,  -7.0464
196606,   0.8269,   0.0840,  -0.0157,  -1.9931,  -0.0617,  -0.1531
196607,  -2.1391,  -1.6520,  -0.7200,  -1.6477,  -0.6083,  -1.1721
196608, -11.1093,  -9.8236, -10.4844,  -7.6265,  -6.5819,  -7.3849
196609,  -2.0728,  -0.9029,  -1.4406,  -0.9883,   0.1943,  -0.5054
196610,  -3.6037,  -0.1990,  -0.1041,   3.3124,   7.1477,   5.1947
196611,   7.7252,   4.5966,   2.6090,   3.7009,  -0.9212,  -0.5612
196612,   3.3601,   2.6479,   0.7822,  -0.3564,   1.4120,  -0.1645
196701,  17.8461,  16.3463,  17.6522,   7.8965,   6.3459,  12.6306
196702,   4.7050,   2.9872,   3.1331,   1.9857,  -0.3080,  -0.8887
196703,   5.9768,   6.5212,   5.5722,   4.3075,   3.6503,   5.4610
196704,   5.5597,   3.8351,   3.4647,   6.0010,   1.8326,   3.1401
196705,  -1.7300,  -1.1506,  -2.2992,  -4.9525,  -3.7329,  -2.1994
196706,   9.6490,   7.9899,   8.2267,   1.4707,   2.0093,   4.5906
196707,   7.0273,   7.6199,  10.2558,   4.9185,   3.4805,   7.1492
196708,  -0.3555,   0.8316,   0.4821,  -0.7586,  -0.8419,   1.2900
196709,   6.8718,   5.3425,   4.5936,   3.7985,   2.7295,   1.0866
196710,  -0.8656,  -2.1788,  -3.4492,  -1.5154,  -3.8102,  -5.5375
196711,   1.2999,   1.4032,  -0.8663,   1.0867,   0.2656,  -0.1409
196712,  11.0819,   7.4889,   8.1061,   2.1451,   3.2891,   4.0608
196801,  -1.4050,   0.8056,   3.4917,  -6.1510,  -1.2659,  -1.4448
196802,  -7.4998,  -5.1240,  -4.9376,  -3.3073,  -2.1089,  -3.3115
196803,  -0.7159,  -1.2066,  -0.4988,   1.8364,  -0.6852,   0.4382
196804,  17.2535,  14.2241,  13.2204,  10.2455,   5.3802,  12.0217
196805,   9.6046,   8.3672,   8.8094,   2.4723,   0.1433,   4.9767
196806,  -0.2087,   1.3677,   1.5647,  -0.0179,   3.6400,  -0.3301
196807,  -5.6047,  -2.5506,   0.2387,  -4.5169,   0.2548,   0.4228
196808,   3.9146,   3.4986,   4.6678,   1.1224,   1.5413,   2.3848
196809,   7.4185,   6.8793,   6.5425,   3.3287,   4.3124,   4.8116
196810,  -0.5614,   2.0817,   1.3332,  -0.6203,   1.7254,   3.1968
196811,   8.5717,   8.2183,   6.7563,   5.5073,   5.5496,   5.4733
196812,   0.3302,  -0.5776,  -1.0953,  -4.8652,  -3.1448,  -3.4555
196901,  -1.8141,  -1.0378,  -0.7065,  -1.8167,   0.0853,   0.4064
196902, -10.3301,  -8.1994,  -7.4858,  -3.9520,  -5.3098,  -4.9845
196903,   3.1033,   2.1162,   3.1831,   3.8919,   2.6001,   2.7972
196904,   0.8350,   1.9561,   1.1374,   3.2394,   0.3983,   2.8740
196905,  -0.2338,   0.9574,   0.0718,  -0.1839,   0.7024,   0.9152
196906, -12.2122, -11.2579, -10.9413,  -3.4067,  -8.0495,  -6.8470
196907, -11.1679,  -9.4675,  -7.4247,  -4.7347,  -7.5210,  -6.0828
196908,   7.3305,   5.3320,   3.8237,   6.7198,   4.3419,   2.6459
196909,  -0.4689,  -2.1252,  -2.8037,  -0.5804,  -3.5785,  -4.7781
196910,  10.9353,   8.1921,   7.2155,   6.3133,   4.5667,   3.7212
196911,  -5.4549,  -5.2836,  -6.3987,  -2.0767,  -3.8218,  -3.5055
196912,  -5.1118,  -5.7933,  -6.3757,   0.0964,  -1.8865,  -4.3616
197001,  -6.0263,  -5.2292,  -2.2378,  -8.0937,  -8.5591,  -5.6240
197002,   2.5541,   3.3181,   6.1774,   3.8115,   7.9290,   8.0565
197003,  -5.0571,  -1.1482,   0.0746,  -1.7482,   1.4789,   1.0942
197004, -20.5958, -14.1624, -11.2213, -10.5147,  -9.4970,  -7.5195
197005, -11.1090, -10.7779,  -8.0596,  -7.8109,  -4.1594,  -4.2061
197006,  -8.6821,  -7.2620,  -6.0213,  -5.4642,  -3.1802,  -6.9337
197007,   7.6004,   6.9839,   6.7160,   5.2034,   9.7129,   7.8949
197008,   6.1240,   7.0949,   6.6583,   4.1249,   5.3121,   5.8857
197009,  17.0959,  10.5850,   9.4860,   7.2010,   0.3237,   3.8662
197010,  -6.7082,  -7.0111,  -4.0544,  -0.6637,  -1.6213,  -2.8685
197011,   0.5113,   2.1444,   2.6207,   5.0930,   5.6490,   6.3668
197012,   7.7683,   9.6452,   9.3216,   5.3845,   6.7480,   5.8366
197101,  10.4614,  12.8709,  12.5174,   4.6644,   3.8389,   5.2684
197102,   4.5227,   3.4264,   2.3794,   2.3764,   0.3195,   2.0632
197103,   8.9358,   5.0692,   4.8168,   5.8231,   3.0881,   2.0489
197104,   3.0747,   3.8399,   3.2397,   3.9165,   2.5978,   5.1225
197105,  -4.0241,  -5.5246,  -5.1010,  -2.7531,  -4.2248,  -4.5471
197106,   0.2361,  -1.5114,  -2.2472,   1.1456,  -0.1511,  -0.1057
197107,  -6.6487,  -4.4324,  -5.8546,  -4.1200,  -3.5146,  -4.8713
197108,   4.3212,   3.8282,   6.5584,   5.4943,   1.2035,   8.5176
197109,   0.9006,  -0.7424,  -2.0224,   0.3621,  -1.2186,  -2.5391
197110,  -5.9435,  -4.4257,  -6.5569,  -3.9030,  -3.5016,  -4.2427
197111,  -2.9587,  -2.2901,  -4.0116,   0.8546,  -0.3557,  -1.4552
197112,  13.4551,  11.2092,  12.1094,   8.9589,   8.4368,   9.5107
197201,   8.4904,   6.8089,  10.4402,   2.6593,   0.3564,   5.1822
197202,   4.6709,   3.1350,   2.6495,   4.5391,   1.0451,   0.9714
197203,   1.5779,  -0.1184,  -0.3992,   2.1897,  -1.3698,   0.9517
197204,   0.5700,   1.2497,   0.5068,   0.7895,   0.1041,   1.0984
197205,  -1.7869,  -1.3544,  -2.6628,   2.9429,   0.8957,  -1.5729
197206,  -3.4413,  -2.7869,  -3.1362,  -1.0690,  -2.7726,  -6.3332
197207,  -5.0804,  -3.2228,  -2.0216,   0.5997,  -1.1781,  -1.1332
197208,  -0.7688,   1.9638,   2.5455,   1.4867,   7.0849,   7.2568
197209,  -3.3998,  -2.7074,  -3.1707,  -0.4838,  -1.0641,   0.2109
197210,  -2.5724,  -0.1689,  -1.0162,   0.5178,   2.2687,   1.6455
197211,   3.3834,   5.8513,   6.3656,   2.9687,   6.5446,   9.6877
197212,  -1.1684,  -1.0814,  -2.3004,   2.6574,  -0.7657,  -0.5868
197301,  -7.8787,  -5.1440,  -3.6856,  -2.6064,  -2.1978,  -1.4416
197302, -10.9375,  -7.6768,  -5.8766,  -3.0484,  -4.9269,  -4.9156
197303,  -3.9900,  -2.7003,  -1.2382,  -1.2331,   0.5039,   1.2628
197304, -11.1364,  -5.4142,  -4.9955,  -6.0701,  -2.5391,  -1.3817
197305, -10.6173,  -7.2074,  -7.3584,  -0.8841,  -2.0746,  -3.3242
197306,  -5.0790,  -2.9131,  -2.6949,  -0.8934,  -0.3405,  -0.8809
197307,  18.2569,  10.2456,   9.0944,   6.4208,   2.2954,   4.9684
197308,  -3.8969,  -5.2957,  -4.0378,  -3.2396,  -2.9881,  -0.6193
197309,  10.9147,   9.7333,   8.5459,   2.2473,   9.2030,   8.6341
197310,  -2.3992,   0.1687,   0.8485,  -0.1351,  -0.3819,   0.4996
197311, -22.6489, -17.8025, -16.2280, -12.4865, -10.0091, -11.1645
197312,  -2.3418,  -2.2632,  -1.4183,  -1.1773,   5.5957,   5.5955
197401,   7.5298,  10.2162,  13.8461,  -1.0406,  -1.0939,   4.6894
197402,   0.0167,   0.4363,   1.8631,  -1.0556,   1.1882,   2.7251
197403,  -0.3690,  -0.6212,   0.4842,  -1.7118,  -3.3888,  -3.2064
197404,  -6.2809,  -5.9095,  -3.6342,  -3.4024,  -5.8554,  -4.3396
197405,  -7.0049,  -8.0270,  -6.8701,  -1.8453,  -5.1526,  -6.0298
197406,  -3.2122,  -2.6068,  -1.1188,  -2.0779,  -1.7287,  -2.6309
197407,  -6.7549,  -4.2413,  -2.9998,  -9.3475,  -4.4050,  -2.7774
197408,  -9.6682,  -7.9890,  -7.3539, -10.0804,  -5.6251,  -7.1175
197409, -11.8584,  -7.0475,  -7.3086, -13.7822,  -6.0879,  -7.1654
197410,  14.4237,   7.5768,   8.0211,  21.2435,  11.2443,   7.8997
197411,  -5.1519,  -4.3378,  -5.5397,  -3.9602,  -3.4500,  -3.9793
197412,  -7.2362,  -5.5575,  -7.6673,  -3.2920,  -0.0288,  -2.6375
197501,  24.8048,  26.7424,  30.6945,  10.6122,  16.9335,  21.2771
197502,   6.6106,   3.1851,   3.7820,   8.1765,   2.7866,   2.1213
197503,   7.8014,   6.8907,   8.3282,   2.9335,   1.5737,   7.1633
197504,   6.4775,   3.1905,   3.1197,   5.7650,   2.1356,   6.8476
197505,  10.3329,   6.7922,   6.8819,   5.6927,   5.8711,   0.9427
197506,   7.0232,   7.4295,   6.4150,   4.2499,   6.3959,   7.6177
197507,  -2.9921,  -2.3783,  -2.5589,  -7.4851,  -4.0020,  -4.5331
197508,  -4.6391,  -4.2661,  -6.7043,  -2.1928,  -1.6518,  -2.0229
197509,  -4.0116,  -3.4173,  -3.4014,  -3.9917,  -2.7235,  -3.8172
197510,   1.3529,   3.5009,   1.9430,   6.5434,   5.8190,   6.5220
197511,   1.2210,   2.3795,   3.8098,   2.9993,   3.5505,   4.4750
197512,  -1.4989,  -0.3889,  -0.8743,  -1.7778,   0.3702,   0.9831
197601,  14.9242,  18.4667,  24.7673,  10.8840,  14.5428,  18.2942
197602,   6.6580,   7.2422,  12.4205,  -1.3254,   1.8115,   4.6546
197603,   1.3330,   1.4410,   1.8617,   2.9741,   2.9470,   2.2018
197604,  -1.0072,  -0.9816,  -1.3187,  -1.6210,   0.2753,  -1.6344
197605,  -0.8109,  -2.0504,  -3.6025,  -0.6358,  -1.5722,  -0.5715
197606,   3.9466,   3.7179,   3.8136,   4.3724,   5.1344,   5.9218
197607,  -1.1302,   0.6951,   0.7167,  -1.2322,   0.2503,   0.3881
197608,  -3.4817,  -1.3181,  -1.3246,  -0.3685,   1.1663,  -0.9139
197609,   3.5291,   2.4595,   2.2499,   2.2060,   3.2014,   2.8993
197610,  -2.6845,  -1.4952,  -2.0667,  -2.3694,  -1.1884,  -3.3552
197611,   3.6512,   3.1829,   3.9432,  -0.6832,   2.4594,   2.0466
197612,   9.6061,   9.4905,  10.1071,   4.7254,   6.6160,   8.7706
197701,   0.7210,   2.2504,   3.0991,  -6.3823,  -1.6145,  -0.2155
197702,  -1.0278,  -1.1012,   0.0031,  -1.8193,  -1.5114,  -1.9180
197703,   0.2648,   0.6752,   0.2314,  -1.7071,  -0.6237,   0.4974
197704,   1.1440,   1.2642,   2.4533,  -1.1247,   2.0353,   4.3186
197705,  -0.7265,   0.0597,   0.6382,  -1.9168,  -0.0710,  -1.5795
197706,   7.4918,   6.2148,   6.8343,   5.6656,   3.7481,   4.8443
197707,   0.0847,   0.0819,   0.5665,  -1.5588,  -1.0330,  -3.1550
197708,   0.6910,  -0.8612,  -1.5152,   0.2495,  -3.4331,  -2.9398
197709,   1.6105,   1.4854,   0.5531,  -0.7059,   1.0380,  -0.6902
197710,  -3.8335,  -2.2279,  -1.5761,  -4.4278,  -3.7881,  -3.1847
197711,   8.3539,   7.4641,   8.1150,   4.0768,   3.8351,   4.8404
197712,   3.1208,   1.4360,   1.5802,   0.1735,   0.8685,   1.1438
197801,  -4.6778,  -2.8798,  -1.1427,  -6.4466,  -5.6977,  -3.2682
197802,   1.6302,   2.5679,   2.4814,  -2.6288,   0.3508,  -1.8122
197803,   6.4492,   6.6431,   7.1277,   2.2355,   3.6135,   3.9137
197804,   9.9575,   7.5947,   7.2061,  11.0834,   5.5570,   6.7563
197805,   7.0761,   5.8074,   5.8959,   1.9154,   1.1175,   2.0615
197806,  -0.9738,   1.1110,   0.3601,  -1.3715,  -1.5437,  -1.5694
197807,   7.0202,   4.9532,   5.7853,   6.9962,   4.1397,   5.9214
197808,   8.2359,   8.2832,   8.7076,   3.5456,   4.4412,   2.0514
197809,  -1.8909,  -0.4368,  -0.6268,  -2.5719,   0.9730,  -0.0583
197810, -23.1152, -18.3500, -18.6611,  -9.8736,  -9.1170, -11.5666
197811,   8.8022,   4.8809,   4.3691,   2.8781,   3.2460,   3.0173
197812,   3.0807,   1.9491,   1.9966,   2.7949,   0.7342,  -0.3788
197901,   8.5569,   7.9100,   9.6098,   3.4154,   5.0718,   6.7362
197902,  -3.4551,  -2.2450,  -1.9317,  -3.6978,  -2.4034,  -2.8845
197903,  11.7090,   8.5220,   8.5269,   5.7619,   5.6959,   7.5245
197904,   1.6374,   2.8828,   3.3396,   0.1217,   0.6187,   0.6573
197905,  -2.6133,  -0.7133,  -0.4841,  -1.8140,  -1.2943,  -1.3239
197906,   5.7373,   5.9665,   6.0916,   3.1127,   5.5269,   5.6467
197907,   1.9209,   4.0163,   3.2380,   0.5951,   1.7378,   2.9998
197908,   9.0414,   7.4290,   7.3498,   6.8305,   5.4674,   5.3664
197909,   0.8031,  -1.0961,  -1.0925,  -0.8271,   0.9897,  -0.7272
197910,  -9.2505, -10.5658, -11.4064,  -6.7367,  -6.1019,  -8.2708
197911,  10.9906,   6.9676,   6.8114,   6.4630,   5.6336,   4.0643
197912,   8.2142,   5.1700,   5.1402,   3.0248,   1.1064,   1.8921
198001,   7.9452,   7.6548,   8.5051,   4.9399,   6.4312,   7.8701
198002,  -0.3848,  -2.9527,  -2.6726,  -3.0630,   2.1593,   0.4450
198003, -19.3301, -16.0471, -17.3817,  -9.0773, -10.7170, -13.0360
198004,   6.2330,   6.4439,   5.9533,   3.7499,   5.5976,   6.1397
198005,   8.0731,   7.9050,   8.0871,   5.7433,   5.4544,   6.4795
198006,   5.2048,   4.4065,   4.3282,   3.0507,   3.4963,   2.4152
198007,  13.2854,   9.5220,   7.0754,   9.3746,   5.3154,   2.7700
198008,   8.4868,   4.8835,   3.6359,   2.1162,   1.3643,   1.7611
198009,   5.2475,   2.9382,   1.0864,   4.0427,   3.2641,  -0.9699
198010,   5.8507,   2.3173,   3.0667,   1.8142,   2.9265,  -0.9246
198011,  12.6739,   4.3981,   2.6728,  11.5462,  13.3847,   4.8858
198012,  -5.3599,  -1.7816,  -1.2148,  -2.1695,  -4.6795,  -0.7354
198101,  -3.7690,   0.7707,   2.1140,  -5.9060,  -5.3719,   1.6425
198102,  -0.7145,   2.3287,   2.7761,   2.7916,   1.2764,   1.3483
198103,   7.6888,   7.9732,   7.6879,   3.9242,   3.6089,   5.2103
198104,   2.5198,   3.5780,   3.8073,  -2.2007,  -2.1678,   1.0691
198105,   4.9505,   2.9137,   1.6988,   0.8188,  -0.4910,   3.2259
198106,  -5.7292,   0.7184,   1.4230,  -3.1640,   2.1176,  -0.0550
198107,  -2.9082,  -2.4291,  -1.5787,   1.2905,  -0.6100,  -1.0370
198108,  -9.8846,  -6.0119,  -4.7176,  -6.8246,  -5.4665,  -2.4762
198109, -10.2062,  -6.5999,  -4.9371,  -6.4300,  -6.0109,  -1.3539
198110,  10.6086,   6.6738,   5.8372,   8.0684,   3.9254,   4.4261
198111,   0.8531,   4.9633,   4.5630,   4.2079,   5.0910,   4.1649
198112,  -2.4036,  -0.8694,  -1.4615,  -3.1337,  -2.7394,  -2.4558
198201,  -4.8632,  -3.3260,  -0.8535,  -1.9213,  -3.7209,   0.4466
198202,  -7.4167,  -3.1474,  -0.7327,  -7.3158,  -3.4111,  -1.8960
198203,  -2.2742,  -0.4510,   1.5073,  -1.9474,  -0.5311,   1.8964
198204,   6.3584,   5.7347,   4.1462,   5.7382,   3.5294,   2.5601
198205,  -3.4446,  -2.3238,  -0.9464,  -3.4853,  -2.3037,  -2.4807
198206,  -3.5859,  -1.6384,  -1.3412,  -2.5237,  -1.1250,  -1.7167
198207,  -2.2867,  -0.6248,  -1.0541,  -0.6341,  -4.1228,  -1.6917
198208,   8.1860,   8.9050,   8.0868,  11.3557,  12.8785,  13.3486
198209,   2.7648,   4.7373,   5.2828,   1.9731,   1.9506,   0.0139
198210,  15.8771,  13.1747,  11.6901,  12.8302,  11.2070,   9.6909
198211,   9.8053,   8.5255,   9.2090,   7.1064,   2.4494,   3.9592
198212,   1.2810,   1.1297,   0.7614,   1.1325,   1.1039,   1.6070
198301,   9.5976,   5.5675,   4.9439,   2.7343,   3.2803,   5.8897
198302,   4.3293,   6.6137,   7.1598,   3.6533,   2.4065,   2.2234
