,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
198303,   2.5762,   6.4123,   6.1273,   2.5155,   4.4170,   3.0031
198304,   7.9818,   7.8369,   7.5278,   5.6970,   9.0128,   7.1267
198305,   7.9931,   5.4306,   5.1013,  -0.1600,   0.0474,  -0.0677
198306,   5.7463,   4.3136,   2.4488,   5.2835,   3.6074,   0.7795
198307,  -5.8404,   0.0074,   1.3222,  -5.2005,  -2.6970,  -1.1218
198308,  -4.7929,  -2.8201,  -0.3019,  -1.3140,   0.9511,   5.2747
198309,   0.2023,   2.5052,   3.9526,   2.5230,   1.5132,   0.7975
198310,  -8.9359,  -4.3566,  -2.2239,  -3.5906,  -0.8627,  -0.3673
198311,   4.7353,   4.2741,   4.3171,   2.9241,   2.4554,   1.9075
198312,  -3.1882,  -0.4239,   0.2055,  -0.7589,  -1.1349,  -0.6913
198401,  -4.1567,  -0.2290,   2.0888,  -5.3302,   0.5847,   3.5896
198402,  -6.9650,  -5.0064,  -3.5449,  -4.7770,  -4.1422,  -1.5333
198403,   0.1461,   1.4441,   2.2646,   1.6286,   1.5890,   0.4238
198404,  -1.1081,   0.0142,  -0.0244,   0.3973,   0.2327,   1.7183
198405,  -5.9648,  -4.8335,  -4.2850,  -4.8224,  -4.5671,  -5.8762
198406,   4.5857,   2.1225,   1.0123,   4.4134,   1.5413,   2.6706
198407,  -5.4642,  -2.9661,  -3.3285,  -0.9786,  -1.7684,  -2.3933
198408,  13.4864,  10.2552,   9.4739,  11.1317,  11.2996,  11.5043
198409,  -2.7498,   1.4030,   2.2213,  -2.3711,  -0.4706,   3.2127
198410,  -2.2199,  -0.2925,  -0.0773,   0.7342,   0.8787,  -0.5118
198411,  -4.4941,  -0.3537,   0.3942,  -2.2380,  -1.2801,   1.0015
198412,   2.1513,   1.6676,   2.0950,   2.6830,   2.6883,   2.2125
198501,  15.0004,  10.0044,   8.8293,  10.1430,   8.1302,   5.6178
198502,   2.9567,   2.8308,   1.7902,   1.2977,   1.6431,   2.2635
198503,  -3.2404,  -1.1527,   1.3822,  -1.3177,  -0.6621,   2.2078
198504,  -2.0441,   0.1227,   1.6812,  -1.7834,  -0.8184,   1.9360
198505,   4.2871,   4.0679,   3.3406,   6.1397,   7.0411,   5.1677
198506,   1.5306,   2.5551,   2.2948,   1.4638,   1.9081,   1.4631
198507,   2.7130,   2.4715,   1.1537,   0.2217,  -0.9461,  -1.4620
198508,  -2.0215,   0.0854,   0.2922,  -1.4907,  -0.0969,   0.8297
198509,  -7.2192,  -4.3580,  -4.1420,  -3.8632,  -2.7279,  -4.3669
198510,   3.2872,   3.7407,   3.3782,   4.0949,   5.3420,   5.5001
198511,   7.7856,   7.0462,   6.3634,   9.0429,   6.6351,   4.7599
198512,   4.8833,   4.2109,   3.1658,   5.7737,   3.6032,   4.4138
198601,   2.3768,   1.5146,   2.5401,   0.8049,   0.4672,   1.5308
198602,   7.2854,   7.3213,   6.9587,   8.0072,   8.2751,   6.8955
198603,   4.1459,   5.2527,   5.2443,   6.2550,   5.7855,   4.3668
198604,   2.2826,   1.0519,   0.4498,   0.5808,  -1.8171,  -3.3166
198605,   3.3482,   5.3710,   3.2911,   5.4491,   5.5183,   5.0823
198606,  -0.0369,   0.9053,   1.8141,   1.8578,   1.1262,   2.5744
198607, -10.5776,  -8.7108,  -5.7929,  -7.2455,  -5.1365,  -2.6320
198608,   2.2430,   3.5642,   4.4262,   4.6183,   8.6552,   9.4572
198609,  -8.1714,  -4.7631,  -4.6913, -10.1810,  -7.3139,  -7.2174
198610,   4.3978,   2.8904,   1.7426,   5.6860,   5.3335,   5.5064
198611,   0.0342,  -0.6002,   0.5165,   2.1265,   2.0508,   1.5010
198612,  -3.0719,  -3.0289,  -1.8485,  -2.3810,  -3.0977,  -2.8754
198701,  12.6452,  10.9877,   9.2413,  13.9515,  13.3172,  11.0334
198702,   9.5106,   6.8593,   5.0940,   7.4353,   3.5305,   0.0263
198703,   1.3769,   2.8899,   3.6630,   1.6836,   2.2760,   2.6132
198704,  -2.6291,  -3.0404,  -3.6852,  -1.7917,  -0.9840,  -1.5187
198705,  -0.3112,  -0.1412,   0.8036,   1.3297,  -0.1646,   0.6845
198706,   1.5427,   3.2447,   3.6080,   4.6957,   5.3585,   4.7076
198707,   2.1631,   3.2665,   5.2885,   5.5219,   3.4924,   3.7601
198708,   2.8527,   3.7500,   3.0306,   4.7692,   4.4239,   2.7356
198709,  -2.5508,  -1.2682,  -1.3923,  -1.9644,  -2.2825,  -2.5734
198710, -32.4829, -27.8915, -27.8467, -23.2158, -20.3223, -19.3800
198711,  -6.6107,  -3.9087,  -3.6438,  -8.7104,  -7.8394,  -5.7749
198712,   9.2665,   6.9678,   4.6334,   9.1347,   6.4396,   4.9150
198801,   2.2141,   4.8636,   6.3098,   2.0283,   5.5680,   7.9624
198802,   8.5114,   7.9694,   7.0921,   5.4343,   4.6765,   3.4372
198803,   3.6385,   3.9892,   3.2186,  -3.1280,  -3.2442,  -1.2442
198804,   1.4367,   1.9438,   2.5857,  -0.6415,   2.0661,   1.5495
198805,  -3.0097,  -1.7772,  -0.2763,   0.0176,   0.6058,   2.1245
198806,   7.8072,   6.8012,   6.2787,   4.9039,   5.7022,   3.9622
198807,  -2.3125,  -0.3328,   0.2536,  -1.6413,  -0.2281,   0.2409
198808,  -4.1306,  -1.7398,  -1.4085,  -2.9658,  -3.0546,  -1.3904
198809,   2.6306,   3.0843,   2.5837,   5.1030,   3.4937,   3.6418
198810,  -2.0141,  -0.1446,   0.6314,   1.5735,   2.6636,   3.0263
198811,  -3.8315,  -2.6187,  -2.5909,  -1.9520,  -1.5482,  -0.3700
198812,   4.1019,   4.0291,   2.8736,   2.9015,   1.5045,   0.7467
198901,   4.2075,   4.4080,   5.3710,   7.0241,   6.5824,   7.0682
198902,   0.4871,   0.8628,   1.3553,  -2.4817,  -1.9259,  -1.3377
198903,   2.4678,   2.8726,   3.4757,   2.4731,   1.7194,   2.6210
198904,   4.6182,   4.4569,   3.8119,   6.1177,   4.7227,   4.0840
198905,   4.7052,   3.6809,   3.7753,   4.8216,   3.5000,   3.9835
198906,  -3.1788,  -0.7575,  -0.0680,  -0.9504,  -0.4147,   0.4305
198907,   4.2672,   4.1449,   3.3676,  10.8754,   7.1331,   6.2049
198908,   2.7883,   2.7404,   2.6094,   1.0698,   2.9529,   2.4445
198909,   1.4310,  -0.0028,  -0.7574,   0.4919,  -0.9288,   0.1494
198910,  -5.0461,  -5.7394,  -6.3635,  -1.3426,  -3.8669,  -2.2476
198911,   0.7437,   0.7299,  -0.1227,   2.3285,   1.7137,   1.0186
198912,   0.2150,  -0.4629,  -0.2315,   1.6916,   2.4455,   2.4613
199001,  -9.2469,  -7.7747,  -7.8832,  -7.6131,  -6.2948,  -7.2709
199002,   3.1973,   2.7071,   2.2005,   0.3535,   2.1549,   2.6296
199003,   4.2970,   3.9188,   2.2333,   4.1381,   1.4489,   0.3616
199004,  -2.7212,  -3.1601,  -4.3624,  -0.9445,  -3.4355,  -4.4877
199005,   8.4807,   6.6357,   4.2531,  10.8350,   8.7192,   7.3981
199006,   1.0426,   0.4492,   0.0000,   1.2711,  -2.4407,  -1.5455
199007,  -4.5341,  -3.5288,  -4.3317,  -1.3989,   0.0264,  -1.6679
199008, -14.7389, -12.3678, -11.2747,  -9.7878,  -7.9240,  -9.9623
199009, -10.1778,  -8.3873,  -8.3197,  -5.7974,  -3.7592,  -6.3670
199010,  -5.9630,  -5.5088,  -6.0758,   0.4607,  -2.0753,   0.7665
199011,   8.9656,   6.6825,   5.0044,   7.3860,   6.8418,   5.1477
199012,   4.2266,   3.6738,   2.6959,   3.7847,   2.4811,   1.9115
199101,   9.3095,   8.3042,   7.9073,   6.3134,   3.2538,   4.5144
199102,  11.6821,  10.3372,  11.3068,   7.8957,   6.4618,   7.1044
199103,   7.8039,   5.3003,   6.5350,   4.1447,   1.0879,   2.6313
199104,  -0.7145,   1.3843,   1.6752,  -0.2734,   0.8382,   0.3398
199105,   4.3206,   4.7760,   2.6841,   4.7155,   2.9460,   5.3121
199106,  -5.2543,  -3.1980,  -4.1184,  -4.8868,  -4.3465,  -3.7232
199107,   4.3325,   3.3879,   3.0346,   5.4110,   4.0532,   4.0615
199108,   4.4509,   3.0063,   4.3470,   3.3482,   1.8036,   1.9010
199109,   1.3208,   0.5768,  -1.0642,  -2.2033,   0.0753,  -1.9731
199110,   3.0458,   2.5907,   1.7781,   1.5117,   1.6334,   1.8307
199111,  -4.8677,  -3.6850,  -5.5897,  -2.4929,  -4.6013,  -5.5511
199112,  10.3864,   6.7452,   7.4219,  14.4732,   7.7200,   9.0896
199201,   7.4406,   7.4819,  10.6783,  -2.2734,  -1.4126,   3.9161
199202,   0.7335,   2.7555,   7.1315,   0.3247,   0.8210,   6.8765
199203,  -6.2280,  -1.2417,  -0.7799,  -2.7662,  -1.2534,  -1.1011
199204,  -5.4951,  -2.4825,  -0.9198,   0.1232,   4.9427,   4.2205
199205,  -0.7331,   1.0235,   2.3897,   0.8799,   0.4489,   0.1317
199206,  -6.1368,  -3.2396,  -2.7810,  -2.4792,  -1.0995,   0.6397
199207,   2.7042,   3.3135,   3.7109,   4.3501,   4.5781,   2.2174
199208,  -4.2863,  -1.4715,  -2.7548,  -1.1177,  -2.1613,  -4.8580
199209,   1.4260,   2.4973,   1.3745,   1.6170,   0.9125,   1.1576
199210,   4.4956,   2.4107,   1.9164,   2.3858,  -0.8402,   1.0083
199211,   9.5730,   6.5506,   6.8812,   4.5935,   2.5447,   4.5942
199212,   2.6060,   3.6104,   5.0863,   0.7039,   2.0763,   3.4616
199301,   1.1246,   4.1558,   6.3608,  -1.1051,   1.5576,   5.5310
199302,  -6.4782,  -0.0652,   0.9461,  -2.3187,   4.0739,   3.0909
199303,   2.0745,   2.8251,   3.4111,   1.7540,   3.0636,   2.7855
199304,  -3.7479,  -2.4871,  -2.7049,  -5.0586,  -0.7399,  -1.1277
199305,   6.6181,   3.4308,   3.1393,   4.0372,   2.3510,   0.6694
199306,   0.5431,   0.6606,   1.4876,  -1.0757,   1.1626,   3.4698
199307,  -0.4052,   1.6046,   2.1185,  -1.9939,   1.2726,   1.1740
199308,   3.7756,   4.7705,   3.4149,   3.4854,   3.9838,   4.1084
199309,   3.3150,   2.3534,   2.4602,  -0.9259,   0.6327,  -0.6880
199310,   3.9698,   1.6410,   2.7022,   3.2825,  -0.0765,  -0.9683
199311,  -3.1616,  -2.8552,  -2.4434,   0.0620,  -2.6259,  -2.1447
199312,   2.7277,   3.9524,   2.5671,   1.4219,   1.9158,   2.2282
199401,   1.8803,   2.9469,   4.8889,   2.4154,   4.5770,   1.6973
199402,  -0.9196,   0.9023,  -1.0985,  -1.7641,  -3.0804,  -4.6720
199403,  -6.2311,  -4.7222,  -4.3361,  -4.6933,  -3.9696,  -3.3803
199404,  -0.8882,   0.7042,   1.4197,   0.6158,   1.7767,   1.6366
199405,  -2.7048,  -1.0815,   0.1619,   1.4041,   1.5369,  -0.1128
199406,  -4.7152,  -2.3809,  -1.8241,  -3.1128,  -1.8992,  -2.6651
199407,   1.6163,   1.1342,   2.1612,   2.8841,   3.9601,   3.5012
199408,   7.3985,   4.8445,   3.9547,   5.2259,   2.9839,   3.6475
199409,   0.6014,  -0.2346,  -0.0209,  -1.4291,  -3.0779,  -4.5775
199410,   0.4398,  -0.0500,  -1.5464,   2.0112,   2.7875,   0.7504
199411,  -3.9575,  -3.2047,  -3.6845,  -3.2106,  -3.5149,  -4.8823
199412,   0.8135,   1.5798,   1.5471,   1.5264,   1.2370,   0.5245
199501,  -1.0872,  -0.3093,   0.8998,   2.1940,   2.4590,   5.3437
199502,   3.5045,   3.3654,   4.2537,   3.8868,   3.9271,   5.2961
199503,   2.9035,   1.7243,   1.2955,   2.9623,   3.1772,   0.2608
199504,   1.0824,   2.8031,   3.3218,   2.3436,   2.8189,   3.5196
199505,   0.8409,   1.5866,   2.9550,   3.2689,   4.0276,   5.7376
199506,   7.7813,   4.5341,   4.3521,   3.4656,   1.8442,   1.8233
199507,   8.0404,   4.7905,   4.8239,   3.7632,   3.9320,   3.7455
199508,   2.0488,   2.6992,   3.9387,   0.0326,   0.8740,   3.7307
199509,   2.4192,   2.1131,   1.6687,   4.5060,   3.1103,   5.1737
199510,  -5.5169,  -5.2771,  -3.8152,   0.3310,  -1.2331,  -2.3730
199511,   3.7295,   3.3741,   3.7025,   4.2415,   4.5532,   5.2829
199512,   2.2051,   2.1904,   2.2547,   0.8634,   2.4287,   1.2528
199601,   0.0325,   0.3393,   0.6887,   3.1042,   2.9451,   3.2120
199602,   4.8418,   2.3586,   2.7796,   1.6586,   1.3955,   1.5535
199603,   2.4736,   2.6032,   2.6298,   0.3329,   2.0041,   0.8853
199604,   8.5392,   5.1675,   4.6315,   2.5169,   1.7542,  -1.6187
199605,   6.0161,   4.6673,   5.3554,   3.3798,   0.7688,   2.3760
199606,  -6.3904,  -2.9786,  -2.3838,   0.1410,  -0.6900,   0.8304
199607, -13.7771,  -6.8259,  -5.4644,  -5.6703,  -3.7797,  -3.6952
199608,   7.0424,   4.9914,   4.4876,   2.1368,   3.8503,   3.2033
199609,   5.3067,   2.4659,   3.2759,   6.6623,   4.0671,   3.2607
199610,  -5.2621,  -0.2902,   0.9932,   0.6781,   3.7890,   4.3024
199611,   1.7531,   4.4777,   3.9288,   7.1535,   7.3238,   7.7482
199612,   0.5392,   2.5949,   2.2704,  -1.7155,  -1.5427,  -0.8256
199701,   4.1649,   3.2190,   2.9067,   6.5068,   4.7004,   4.9195
199702,  -6.4196,  -0.7155,   1.2125,   0.0212,  -0.0144,   3.7380
199703,  -8.4408,  -3.8650,  -1.8060,  -5.3569,  -2.4748,  -5.2102
199704,  -3.2057,   0.6159,  -0.4489,   6.4759,   3.9495,   3.8550
199705,  15.5570,  10.2569,   8.4213,   6.9398,   5.9044,   5.8204
199706,   3.2911,   5.6404,   6.9037,   4.3459,   3.9275,   3.8965
199707,   5.0367,   5.2140,   5.5703,   7.7392,   8.5850,   7.7277
199708,   3.9071,   3.3966,   3.0223,  -5.5037,  -3.7395,  -2.2565
199709,   8.7165,   7.8769,   8.2867,   5.0326,   6.0494,   6.2052
199710,  -6.4669,  -3.5409,  -2.0165,  -3.2725,  -3.3650,  -3.1766
199711,  -3.4160,  -1.0360,   0.5167,   5.1146,   2.7105,   3.5621
199712,  -2.2663,   0.7737,   2.3342,   1.2184,   2.7801,   4.3036
199801,  -0.6753,  -1.2244,  -1.0299,   2.5491,  -1.9299,  -0.3543
199802,   8.5571,   7.3417,   7.0923,   7.0242,   8.2254,   6.7943
199803,   4.1731,   4.9101,   4.6827,   4.9016,   5.1173,   7.1641
199804,   0.6920,   1.4324,   2.1415,   0.8618,   1.8983,   1.2991
199805,  -7.3953,  -5.1838,  -2.4278,  -2.1842,  -2.3898,  -0.3432
199806,   0.6167,  -0.4395,  -0.1616,   5.5655,   1.6572,   2.4064
199807,  -7.7919,  -7.2988,  -7.4253,  -0.8400,  -2.1666,  -4.7627
199808, -24.3741, -18.2951, -18.8106, -13.6291, -18.6322, -12.1245
199809,   9.1005,   5.1772,   3.6424,   7.8651,   3.2743,   6.4886
199810,   4.4161,   3.7819,   3.3328,   7.9721,   8.3229,   4.5867
199811,   9.0066,   5.9552,   5.4904,   7.0561,   5.6614,   4.0667
199812,   6.7069,   3.5481,   2.8020,   8.2786,   2.4758,   3.8120
199901,   3.7326,   2.1106,   1.0679,   4.9923,   1.1859,  -1.5510
199902,  -8.8767,  -7.3703,  -8.4237,  -4.4395,  -0.9040,  -1.0443
199903,  -0.1892,   0.9579,  -2.7853,   3.9834,   4.2758,   1.1068
199904,   9.0446,  10.7078,   9.1712,   2.2638,   7.8684,   7.0474
199905,   1.8174,   1.0378,   3.7551,  -2.4989,  -1.1640,   0.2561
199906,   6.6420,   5.8183,   6.4515,   6.5464,   2.7282,   0.3594
199907,  -1.1245,  -0.5169,  -1.1700,  -2.9887,  -3.7973,  -3.8208
199908,  -2.7694,  -3.0498,  -3.4268,   0.0456,  -3.4353,  -3.0357
199909,   0.6348,  -0.1897,  -2.8843,  -1.7866,  -5.6162,  -5.2602
199910,   0.9641,  -0.4475,  -2.7004,   6.6470,   7.5254,   3.5624
199911,  13.3328,   6.4205,   4.3349,   4.1944,  -2.6936,   0.9766
199912,  18.2951,   9.0252,   6.6659,   8.3424,   1.2492,   3.3242
200001,   1.2533,  -0.9354,   0.3625,  -4.8391,  -4.0904,  -7.7629
200002,  28.2901,  15.6498,  13.1301,   1.2418,  -5.4572,  -2.9891
200003, -13.5698,  -4.8054,  -1.2043,   8.6671,  10.7953,  12.6437
200004, -14.6387,  -5.7927,  -4.3476,  -4.2256,  -0.5153,  -0.0027
200005,  -7.5914,  -5.3605,  -4.9489,  -3.4721,   0.3541,   3.4989
200006,  17.7998,   9.2663,   8.5776,   4.7732,  -4.8059,  -2.8696
200007,  -7.1223,   1.3482,   1.8849,  -3.0452,   3.7998,   4.5455
200008,   8.7780,   5.1353,   6.6710,   7.5806,   7.9300,   6.9300
200009,  -7.2697,  -0.5730,  -0.4569,  -5.9659,   1.5545,   1.5671
200010,  -8.3765,  -1.3294,  -1.5683,  -2.0153,  -0.2313,   2.5737
200011, -16.5793,  -4.3038,  -2.9313, -10.5537,  -3.4093,   0.4395
200012,   2.7867,   8.7299,   8.6265,  -0.1828,   8.9452,   9.2058
200101,  12.6517,   5.0389,   6.8630,   3.4848,   1.8940,  -0.9000
200102, -12.4203,  -0.6751,   0.0022, -11.2013,  -0.8604,   1.3265
200103,  -7.6321,  -0.8824,  -1.5864,  -8.0352,  -1.5624,  -1.2367
200104,  10.1940,   5.0033,   5.0816,   8.9573,   4.9486,   4.7177
200105,   3.8330,   4.6138,   6.3100,   0.4381,   2.1237,   4.7252
200106,   6.3071,   4.6371,   3.1503,  -2.2317,  -1.0819,  -1.3252
200107,  -9.3409,  -4.5299,  -1.0905,  -1.7118,  -1.1436,   0.4601
200108,  -7.4621,  -2.6798,  -1.4845,  -6.9023,  -3.8984,  -8.2732
200109, -17.0250, -13.4339, -14.1516,  -8.1659,  -9.6087,  -8.1314
200110,  11.1364,   5.4265,   4.4853,   3.3534,   0.5583,  -5.3216
200111,   9.0227,   7.3094,   9.0742,   7.8875,   6.6540,  12.2742
200112,   6.6879,   6.8199,   6.6876,   0.6646,   2.9847,   2.3635
200201,  -5.1955,   0.3734,   3.3022,  -0.9182,  -1.6239,  -2.5436
200202,  -8.1235,  -1.2577,  -1.0153,  -2.3962,   0.1967,  -5.1829
200203,   8.8718,   7.6614,   9.9095,   3.5933,   5.5297,   4.6840
200204,  -3.9996,   2.3893,   4.2289,  -7.1199,  -0.5419,  -7.5924
200205,  -6.7218,  -3.6309,  -2.6489,  -1.3862,   0.4151,  -2.3928
200206,  -7.1095,  -3.2247,  -2.3940,  -7.4377,  -5.9293, -12.2215
200207, -14.9349, -14.5371, -15.3107,  -6.4478,  -8.7317, -13.7713
200208,  -0.4394,   0.3783,  -0.4339,  -0.1006,   1.7138,   6.4683
200209,  -8.3738,  -7.4921,  -7.1019, -10.8017, -10.2357,  -9.1350
200210,   6.6752,   4.6300,   0.5649,   9.7548,   4.3438,   7.9856
200211,  13.2180,   8.3005,   7.7334,   5.3780,   5.8461,   8.4496
